Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
55	14.27093	1.3907691	17.933983	10.928041	18.46	13.321727	75.0	0.0	300.0	115223.0	0.06858511904761905	4.9144683	0.4098295	5.91461	2.8840706	7.0804915	2.8112721	28.470886	-1.0270193	2.4414062e-08	-0.008541522	-9.155274e-09	0.0048857555	0.20687002	-0.030701071	17.413237	-7.108639	0	0	2.3046176	0.0	0.57373345	0.009771365	1680000	7924.3271198272705
56	14.301777	1.3448896	17.759245	11.003672	19.29	13.915671	65.0	0.0	300.0	117152.0	0.06850994152046784	4.860352	0.41345116	6.005473	2.9242527	6.4116716	3.2095704	27.876255	-1.2899144	8.646647e-09	-0.008427263	-6.1035155e-09	0.0068159383	0.23024148	-0.034292266	19.968742	-8.396406	0	0	2.373647	0.0	0.56798136	0.009753436	1710000	8078.793722867966
57	14.261574	1.2123212	18.555603	11.3734	20.13	13.78525	58.0	0.0	300.0	119165.0	0.06848563218390805	4.8638396	0.39091438	5.9355397	3.1416004	6.8881116	3.403558	27.297487	-1.7173457	8.138021e-09	-0.007787837	-5.6966147e-08	-0.0016849366	0.203418	-0.02927275	19.550653	-7.86619	0	0	2.5899441	0.0	0.5590842	0.00980106	1740000	8210.836837053299
58	14.377804	1.6143771	18.573772	10.716282	19.93	14.025159	56.0	0.0	300.0	121158.0	0.06845084745762711	4.868834	0.40552685	5.963569	2.8969746	7.0805864	3.277181	25.901917	-0.57273877	-8.138021e-09	-0.007267011	9.155274e-09	0.0002554799	0.25981954	-0.034523398	19.758913	-8.205968	0	0	2.7914958	0.0	0.55274856	0.009906848	1770000	8353.36837720871
59	14.157254	1.3637433	18.13323	11.241882	17.59	12.940707	59.0	0.0	300.0	122917.0	0.06828722222222222	4.8533564	0.43732375	6.110163	2.7751384	6.6872187	3.1831093	24.970541	-1.4646007	7.1207684e-09	-0.006822931	-1.6276042e-08	0.0009889079	0.23824511	-0.038868234	17.05938	-7.2097445	0	0	2.855226	0.0	0.5558666	0.009629405	1800000	8489.577056646347
60	14.480775	1.4618887	19.07007	11.886619	17.38	12.487417	59.0	0.0	300.0	124655.0	0.06811748633879781	4.822565	0.41545746	6.0863814	2.7986994	6.3035297	2.8703048	23.18887	-1.2105654	-4.0690105e-09	-0.0071735433	-7.93457e-08	-0.00092294416	0.261186	-0.042845413	17.704113	-7.3652153	0	0	2.734297	0.0	0.551245	0.009722141	1830000	8634.853031158447
61	14.313673	1.3569039	18.239326	11.105784	16.78	13.4384365	51.0	0.0	300.0	126333.0	0.06792096774193548	4.9003124	0.4107355	6.198712	2.9950619	6.2765446	3.1045942	29.334017	-2.3830214	9.155274e-09	-0.0066484436	-1.6276042e-08	0.0013118205	0.22049607	-0.03824103	16.694216	-6.947757	0	0	3.0709615	0.0	0.5388346	0.00972582	1860000	8769.82351398468
62	14.578675	1.3444144	17.848307	12.141901	20.38	14.319762	61.0	0.0	300.0	128371.0	0.06792116402116402	4.900155	0.39861768	5.940098	2.8126178	6.4813037	3.0362506	22.754734	-2.1029592	6.1035155e-09	-0.0069143353	-2.0345052e-08	0.00092445477	0.23519053	-0.036213964	20.845163	-8.922907	0	0	2.8541965	0.0	0.5562941	0.0097142495	1890000	8919.663239240646
63	14.562909	1.4564246	17.680822	11.265946	19.51	14.268494	63.0	0.0	300.0	130322.0	0.06787604166666666	4.9261	0.4108751	6.1792397	2.9399889	6.6751375	2.9926794	28.61215	-1.1723208	2.0345052e-09	-0.0072569945	-3.2552084e-08	-0.002423885	0.23076637	-0.046240553	22.192936	-9.305636	0	0	2.7131295	0.0	0.5395603	0.009687522	1920000	9050.690821170807
64	14.504176	1.5445241	18.368628	9.719946	18.14	12.246649	54.0	0.0	300.0	132136.0	0.06776205128205129	4.8966336	0.4207748	6.0604167	3.0516675	6.808602	3.10781	28.249329	-1.3995302	8.138021e-09	-0.008661281	-2.6448568e-08	-0.0030090758	0.25428158	-0.047332242	20.668417	-9.141352	0	0	2.2609103	0.0	0.51898766	0.0095547	1950000	9189.105641841888
