Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
34	0.039047737	2.8493223	9.958715	-4.1164365	2.895	4.1849704	29.0	0.0	150.0	46347.0	0.04414	0.062349316	0.85297203	4.279739	-3.223044	0.8484066	1.4281142	17.589348	-1.5313945	-5.086263e-09	-0.0063831797	4.0690105e-09	-0.0046886234	0.7859686	-0.11989218	1.8701918	-0.47065318	0.7578375	0.0	0.0054543517	0.015817165	0.0059666666	0.006474293	-0.0029463477	0.0085112415	0.58722866	0.7578375	1.0	0.0	1.0	1.8832644	0.0072426777	1050000	6201.095175504684
35	0.20061094	2.9178362	13.053539	-4.43253	2.84	3.614471	22.0	0.0	150.0	46915.0	0.04343981481481481	0.007606968	0.84200144	4.587618	-3.3515296	0.7261436	1.0670015	12.066356	-1.5736262	8.138021e-09	-0.0048656077	1.0172526e-09	-0.0059999013	0.80652785	-0.1460216	1.7580945	-0.34230793	1.3909786	0.0	0.004161442	0.014513876	0.0055999993	0.008452388	-0.0049525825	0.005716239	0.5354639	1.3909786	1.0	0.0	0.0	1.8580849	0.009803983	1080000	6381.698565483093
36	0.39855134	3.235101	11.8058815	-3.9539902	2.335	2.915952	14.0	0.0	150.0	47382.0	0.042686486486486486	0.02733761	0.91443163	4.8449664	-3.2248516	0.7579257	0.9881475	8.766977	-1.2768215	3.5603842e-09	-0.009988258	0.0	-0.003017071	1.0554285	-0.16202176	1.1766937	-0.22978199	0.8515352	0.0	0.006904295	0.018980024	0.0022333337	0.008527185	-0.002817106	0.0048900964	0.6031305	0.8515352	1.0	0.0	0.0	1.8374071	0.00983621	1110000	6554.051288127899
37	0.7230217	3.2954643	14.909836	-3.6631646	3.02	3.566455	23.0	0.0	150.0	47986.0	0.04209298245614035	0.08559362	0.9427225	4.265679	-3.5346427	0.70724374	0.83630115	11.702325	-1.3926656	0.0	-0.00265141	1.0172526e-08	-0.006775346	1.3448243	-0.20513546	1.6841733	-0.3415084	2.0949914	0.0	0.0054881843	0.008378365	0.0068	0.0075039095	-0.0028319852	0.003978786	0.80934685	2.0949914	1.0	0.0	0.0	1.8275046	0.008987834	1140000	6721.166415214539
38	0.5369492	2.8749506	12.483033	-3.7707324	2.54	2.8246062	15.0	0.0	150.0	48494.0	0.041447863247863245	0.23002899	0.97827184	4.4936094	-2.8765357	0.8546125	1.0519189	10.457081	-1.0773115	1.3224284e-08	-0.005376134	1.8310548e-08	-0.0037253846	0.9358087	-0.16582263	1.2568678	-0.30558246	1.2784201	0.0	0.0036906323	0.016783053	0.0035999997	0.0066659544	-0.003462163	0.004028664	0.46893743	1.2784201	1.0	0.0	0.0	1.8132312	0.009335677	1170000	6885.610324621201
39	1.0044448	3.6276398	16.281706	-4.1832685	2.74	3.3484921	20.0	0.0	150.0	49042.0	0.04086833333333333	0.17572232	0.92502105	4.2215905	-2.914023	0.7317223	0.8026979	6.5578055	-0.9564234	6.1035155e-09	-0.0044962727	2.0345052e-09	-0.0042134905	1.6551318	-0.24248087	1.4957136	-0.24926901	1.750629	0.0	0.0059402	0.013048429	0.0049333335	0.00818025	-0.0028004504	0.0035010474	0.67471665	1.750629	1.0	0.0	1.0	1.7919757	0.006267541	1200000	7050.1568241119385
40	1.0808312	3.876009	15.941205	-4.0085826	2.62	3.0782464	18.0	0.0	150.0	49566.0	0.040297560975609756	0.34533903	1.015867	4.776877	-2.4786315	0.8220133	0.9708698	10.915913	-2.455788	4.0690105e-09	-0.007087144	9.6639e-09	-0.004064918	1.9066883	-0.25740504	1.4649878	-0.18904233	1.34583	0.0	0.0056438483	0.015822845	0.0041333325	0.007897253	-0.0030358455	0.0040899697	0.5972352	1.34583	1.0	0.0	0.0	1.7879622	0.0095342295	1230000	7229.49077796936
41	1.1899492	3.9078257	17.683565	-3.5932474	3.225	3.9273877	21.0	0.0	150.0	50211.0	0.03985	0.51100594	1.1279612	4.920269	-3.7702262	0.9777204	0.9576727	9.758897	-0.7354955	-4.0690105e-09	-0.0012396851	-2.0345052e-09	-0.0084056	2.4336908	-0.3347032	2.3609266	-0.335469	1.3390465	0.0	0.004148995	0.011874977	0.008166666	0.008778241	-0.0061643547	0.008208522	0.591092	1.3390465	1.0	0.0	0.0	1.7622819	0.009177543	1260000	7396.013104915619
42	1.1563951	3.5680997	12.507815	-3.676522	2.325	3.0198302	16.0	0.0	150.0	50676.0	0.03928372093023256	0.6650853	1.1425197	5.2314043	-2.6855955	1.1026378	1.0743722	10.922823	-1.6091932	8.138021e-09	-0.0065848976	2.0345052e-09	-0.002183136	1.7928843	-0.2706355	1.3329539	-0.30260658	1.0183114	0.0	0.0046485285	0.018721078	0.002166667	0.0065735443	-0.002658198	0.0036706273	0.49830166	1.0183114	1.0	0.0	1.0	1.7675214	0.006738843	1290000	7567.16025018692
43	0.92605805	3.4915075	13.40137	-3.5203362	2.48	2.8565013	14.0	0.0	150.0	51172.0	0.038766666666666665	0.58729184	1.0625076	4.508126	-2.9735236	0.89322877	0.8285265	8.115821	-1.2894975	0.0	-0.0048581664	-6.1035155e-09	-0.0026989197	1.9940734	-0.2732159	1.4885893	-0.1498419	1.5687877	0.0	0.0046260576	0.015888222	0.0032000002	0.006534745	-0.002180231	0.0024904066	0.53959495	1.5687877	1.0	0.0	1.0	1.7562253	0.0066205207	1320000	7738.522196531296
