Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
31	-0.7847734	1.7405955	10.563684	-3.2377913	1.555	2.9183857	29.0	0.0	150.0	38078.0	0.039664583333333336	-0.28199166	0.5909387	2.301776	-2.5233026	0.28369752	0.76762086	11.725874	-1.3212171	1.780192e-08	-0.0076003387	4.577637e-09	-0.003003022	0.23547038	-0.04220873	0.66174763	-0.14042449	1.0256689	0.0	0.0052079433	0.016359216	0.0036999995	0.006040254	-0.001769078	0.0037601786	0.5642244	1.0256689	1.0	0.0	0.0	1.8575106	0.009246998	960000	4385.216941833496
32	-0.63629836	1.5620785	8.920188	-2.6015556	2.095	2.9674864	20.0	0.0	150.0	38497.0	0.038885858585858586	-0.24335758	0.5999184	2.477805	-2.3626137	0.34728992	0.6989776	11.508233	-1.6269429	7.1207684e-09	0.0039163237	-4.0690105e-09	-0.0060461373	0.27972886	-0.039424628	0.95559645	-0.14508528	32.30703	0.0	0.0070670824	5.3026113e-05	0.0073	0.00861929	-0.002036382	0.0026715833	11.544501	32.30703	1.0	0.0	0.0	1.8504223	0.009662745	990000	4525.053472280502
33	-0.6717591	1.701457	7.6680813	-3.1835759	1.515	2.347291	12.0	0.0	150.0	38800.0	0.03803921568627451	-0.18865214	0.54400504	1.908748	-2.2527974	0.35853398	0.6933804	9.217466	-1.0052526	-4.0690105e-09	-0.005111391	-4.0690105e-09	-0.0027453187	0.22365028	-0.04437162	0.6175635	-0.1021561	2.747435	0.0	0.00562756	0.012503159	0.0034333332	0.0082139475	-0.002016618	0.0015723659	0.67088825	2.747435	1.0	0.0	0.0	1.8188653	0.009507727	1020000	4666.34604549408
34	-0.33268416	1.8629713	9.491215	-3.617246	1.655	2.7992811	20.0	0.0	150.0	39131.0	0.03726761904761905	-0.18570904	0.6013858	2.0885985	-2.3629327	0.27811334	0.6076519	10.66339	-1.0062726	2.0345052e-09	-0.007931884	-1.2715657e-09	-0.0026259546	0.33547565	-0.053540558	0.9361295	-0.12616992	1.8170862	0.0	0.0112080565	0.014293697	0.0043666665	0.012663274	-0.002205142	0.0033415286	0.8855088	1.8170862	1.0	0.0	1.0	1.8259612	0.009107506	1050000	4801.749972581863
35	-0.44166753	1.959907	9.363731	-3.3056026	1.835	3.021221	21.0	0.0	150.0	39498.0	0.03657222222222222	-0.14619973	0.6070438	2.650355	-2.2861748	0.35019165	0.7591195	12.532563	-1.3950624	-3.5603842e-09	-0.0063932035	5.086263e-09	-0.0035937103	0.31692043	-0.062936515	0.9862839	-0.15853077	1.9793823	0.0	0.0077314433	0.009473929	0.005566667	0.007947964	-0.0007983838	0.0029439076	0.90336907	1.9793823	1.0	0.0	1.0	1.8420521	0.005749702	1080000	4933.337375402451
36	-0.3639678	1.9750873	10.394526	-3.8183982	1.735	2.7829435	15.0	0.0	150.0	39845.0	0.0358963963963964	-0.12036957	0.6558281	3.4160624	-2.4082901	0.36343676	0.74297535	12.503222	-1.1331033	6.1035155e-09	-0.002406724	5.086263e-09	-0.003413206	0.29131705	-0.05530964	0.6463599	-0.112644374	2.12218	0.0	0.006695722	0.010222752	0.0049	0.0073277717	-0.0012458431	0.0024557014	0.8093098	2.12218	1.0	0.0	1.0	1.846404	0.0069112666	1110000	5068.56533575058
37	-0.41776913	1.5775787	7.221634	-3.2943487	1.755	2.7083158	17.0	0.0	150.0	40196.0	0.03525964912280702	-0.0956609	0.6604134	3.2586074	-2.196014	0.36004895	0.7826661	11.1500225	-1.4269893	-5.086263e-09	-0.0036575226	-5.086263e-10	-0.004146632	0.27186653	-0.059302405	0.713837	-0.14364243	2.1858265	0.0	0.0070203557	0.011041105	0.0050333333	0.008681961	-0.0021676663	0.0028278537	0.7973946	2.1858265	1.0	0.0	1.0	1.8365932	0.006388814	1140000	5203.296715259552
38	-0.33980453	2.1096709	8.274758	-3.4276707	1.495	2.4979942	14.0	0.0	150.0	40495.0	0.03461111111111111	-0.07690658	0.61627215	2.6998549	-2.4384203	0.3760373	0.74562234	13.331884	-2.6839356	-4.0690105e-09	-0.004211607	2.0345052e-09	-0.0037870058	0.3468786	-0.075862825	0.5261506	-0.11256203	2.3281002	0.0	0.005629067	0.014506577	0.0033	0.008933789	-0.002559528	0.0019823704	0.622925	2.3281002	1.0	0.0	0.0	1.8146284	0.009369459	1170000	5345.4080419540405
39	-0.35030687	2.1698468	15.944311	-3.45093	1.51	2.2890825	11.0	0.0	150.0	40797.0	0.0339975	-0.07398217	0.65266514	3.2025404	-2.416118	0.24609336	0.5590656	9.655168	-1.3200903	4.0690105e-09	-0.008677301	5.086263e-10	-0.0031288604	0.42351666	-0.081833094	0.74818265	-0.14390737	1.592798	0.0	0.006459787	0.014711285	0.0034	0.0071502803	-0.0012285239	0.0021857861	0.6626494	1.592798	1.0	0.0	0.0	1.7975779	0.008851237	1200000	5475.754959106445
40	-0.0038882352	2.2430115	12.105846	-3.0178938	1.8	2.9899833	21.0	0.0	150.0	41157.0	0.0334609756097561	-0.05701023	0.6974258	4.046256	-2.5357952	0.43221432	0.8515555	11.679156	-1.073852	-2.0345052e-09	-0.0055430434	-3.8146974e-09	-0.0062852013	0.37506753	-0.07517034	0.8045822	-0.19498271	2.919506	0.0	0.008449591	0.008143647	0.005333333	0.009479106	-0.001571591	0.0023990886	1.0186111	2.919506	1.0	0.0	0.0	1.7843754	0.00881839	1230000	5606.233283996582
