Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
54	25.729908	4.8027844	37.043728	9.793994	20.485	7.3334694	39.0	4.0	150.0	190751.0	0.11560666666666666	18.18464	1.1695249	20.268417	13.246612	12.865073	2.4369183	24.21239	6.701193	6.1035155e-09	-0.0070894673	4.0690104e-08	0.0021357534	4.335013	-0.39079213	10.208106	-1.7017279	0	0	2.3691843	1.0	0.32585287	0.007792	1650000	13025.866266965866
55	25.404707	4.7399473	38.8478	11.472358	19.595	7.4061446	45.0	0.0	150.0	194670.0	0.115875	18.238867	1.2470715	21.255367	12.6855345	13.042947	2.6888368	23.941292	6.247904	-1.525879e-08	-0.0064501436	6.1035155e-09	0.0011050721	4.207197	-0.3834219	10.03511	-1.6927395	0	0	2.3791206	1.0	0.31779993	0.006639455	1680000	13246.336077213287
56	26.416103	4.3552723	39.614136	14.707011	20.4	8.1523	47.0	0.0	150.0	198750.0	0.1162280701754386	18.28475	1.1555545	20.903013	12.6516695	12.926534	2.6148043	23.46964	6.405836	6.1035155e-09	-0.0077325813	1.2207031e-08	0.00013552653	4.106626	-0.50642943	11.368105	-1.8846674	0	0	2.4694445	0.0	0.3029834	0.009730638	1710000	13490.54477071762
57	25.829117	4.671003	36.727383	11.8564205	19.285	7.027359	42.0	3.0	150.0	202607.0	0.11644080459770115	18.54749	1.1224642	20.681074	13.264769	12.815066	2.6330783	23.088926	6.1736994	-6.1035155e-09	-0.0062188497	-3.6621095e-08	-0.00075559085	4.2206354	-0.3012917	10.128637	-1.8880777	0	0	2.5790935	1.0	0.2841996	0.006532365	1740000	13726.57617020607
58	26.280893	4.250746	37.092842	13.631423	19.98	7.0277734	46.0	2.0	150.0	206603.0	0.11672485875706215	18.451477	1.1865169	20.71923	12.7802725	12.879007	2.3916247	23.329563	5.691244	-9.155274e-09	-0.006177957	8.138021e-09	0.0019298991	3.6880274	-0.34620857	10.467588	-1.6951284	0	0	2.5776556	1.0	0.27433443	0.007666407	1770000	13954.088678836823
59	26.162647	4.4706283	37.213425	10.819608	20.35	7.7218843	44.0	1.0	150.0	210673.0	0.11704055555555555	18.65954	1.1041567	20.830778	13.197081	13.012315	2.359241	23.34751	6.310106	-6.1035155e-09	-0.005977963	4.0690105e-09	-0.0012989705	4.0679317	-0.33792233	9.726028	-1.9529171	0	0	2.4857001	1.0	0.2633741	0.0073267035	1800000	14204.061892032623
60	26.038847	4.534696	37.318233	6.695808	19.33	6.946301	42.0	1.0	150.0	214539.0	0.11723442622950819	18.605213	1.1624279	20.806452	12.960616	12.856125	2.4724908	23.475004	6.2437863	6.1035155e-09	-0.007848299	-3.6621095e-08	-0.00042423097	4.1356764	-0.34048986	9.747975	-1.842794	0	0	2.379661	0.0	0.25342774	0.009902681	1830000	14447.457297801971
61	26.186348	4.5079837	37.0341	10.961148	20.14	7.12744	42.0	4.0	150.0	218567.0	0.11750913978494623	18.590828	1.1906261	20.743343	11.717731	12.656434	2.535971	23.703749	6.7706575	1.6530354e-08	-0.0061247377	-4.8828124e-08	-0.00027351888	3.7788403	-0.37036586	9.276734	-1.771585	0	0	2.5421295	1.0	0.23171163	0.006414332	1860000	14695.678462982178
62	26.416782	4.6322412	38.744843	14.570753	20.46	7.5038924	47.0	7.0	150.0	222659.0	0.11780899470899471	18.685867	1.1077213	20.859337	12.504893	12.753729	2.6568246	23.131947	6.549479	-1.0172526e-08	-0.0072881225	1.6276042e-08	0.0016689859	3.863866	-0.3732009	10.400004	-1.7918444	0	0	2.6234024	0.0	0.22493732	0.009952429	1890000	14936.122101545334
63	26.074995	4.5042133	36.50618	12.7677965	20.045	7.5121884	47.0	6.0	150.0	226668.0	0.11805625	18.707872	1.1644485	21.018055	12.9300785	12.904547	2.492211	23.130674	6.86427	-1.2207031e-08	-0.008259524	-1.0172526e-08	-0.0018320313	4.0149846	-0.38788247	10.302531	-1.8748636	0	0	2.4899533	0.0	0.21075273	0.009956734	1920000	15178.895337820053
64	25.89286	4.4803257	37.225555	10.265846	20.235	7.532581	43.0	5.0	150.0	230715.0	0.11831538461538461	18.608088	1.1989033	21.248016	12.977279	12.952833	2.4865534	22.31552	5.310737	0.0	-0.0079724	3.3569336e-08	-0.0018962423	4.0862794	-0.4514637	10.386068	-2.0714226	0	0	2.4438953	0.0	0.19127536	0.00996196	1950000	15433.850677967072
65	26.657593	4.324655	35.204235	10.960004	19.3	7.4478188	42.0	4.0	150.0	234575.0	0.11847222222222223	18.506725	1.1803002	21.111519	13.310475	12.845558	2.5984612	23.610409	4.8934584	1.4241537e-08	-0.0074459566	2.4414062e-08	0.00063696696	4.008822	-0.51962376	9.778164	-1.7619381	0	0	2.6511784	0.0	0.17938292	0.009880449	1980000	15671.293909072876
